osm_type,osm_id,name,brand,address,city,state,country,latitude,longitude
node,6366327952,D1,,Calle 1,Cali,,CO,3.4249406,-76.5524776
node,6368080891,D1,,,,,CO,6.5602856,-73.1397104
node,6374956514,D1,D1,,,,CO,4.7003204,-74.0813066
node,6460216755,D1,D1,Calle 53C Sur 43-74,Sabaneta Antioquia,,CO,6.157919,-75.6040195
node,6601601085,D1,D1,,,,CO,4.6079301,-74.0711052
node,6637941015,D1,D1,,,,CO,4.592467,-74.1022284
node,6638968285,D1,D1,,,,CO,4.6670908,-74.1211439
node,6681267687,D1,,,,,CO,5.0342478,-73.9924726
node,6709037085,D1,D1,,Calima,,CO,3.4840984,-76.4970875
node,6718988628,D1,D1,2E 76 Carrera 11,Pereira,,CO,4.8092005,-75.6775644
node,6718996627,D1,D1,,,,CO,4.8077917,-75.7251133
node,6718996628,D1,D1,5 22 Calle 63,Pereira - Risaralda - Colombia,,CO,4.8049455,-75.6978124
node,6718996990,D1,D1,Calle 14,Pereira,,CO,4.8025841,-75.6915334
node,6718999403,D1,D1,,,,CO,4.8132979,-75.6903948
node,6719000270,D1,D1,Carrera 9,Pereira,,CO,4.8133914,-75.6988826
node,6719000966,D1,D1,,,,CO,4.8107507,-75.6938964
node,6719002783,D1,D1,5 22 Calle 63,,,CO,4.8041846,-75.7410513
node,6719003046,D1,,5 22 Calle 63,,,CO,4.7864255,-75.7251656
node,6719003155,D1,D1,,,,CO,4.8036271,-75.7380239
node,6719003250,D1,,,,,CO,4.8106478,-75.7523216
node,6719007753,D1,,5 22 Calle 63,,,CO,4.8216364,-75.7301818
node,6719008287,D1,,5 22 Calle 63,,,CO,4.7925677,-75.7107917
node,6719008490,D1,,5 22 Calle 63,,,CO,4.8061723,-75.805255
node,6719008654,D1,D1,Carrera 13,Pereira,,CO,4.8122003,-75.7067591
node,6719008655,D1,D1,5 22 Calle 63,El Poblado,,CO,4.8006676,-75.7087387
node,6719016822,D1,D1,5 22 Calle 63,,,CO,4.8090281,-75.6803083
node,6719023573,D1,,5 22 Calle 63,,,CO,4.8154254,-75.7126209
node,6727664964,D1,D1,,,,CO,6.2131903,-75.5708037
node,6759866186,D1,D1,,,,CO,6.213216,-75.5707037
node,6932976230,D1,D1,,,,CO,7.1241761,-73.1185298
node,6970233297,D1,D1,Carrera 36 10B-100,,,CO,6.2114008,-75.5649448
node,6978564285,D1,D1,,,,CO,4.6208916,-74.0681585
node,6987832285,D1,,,,,CO,11.2222102,-74.2065358
node,6988596985,D1,,,,,CO,11.2360871,-74.1921128
node,6988602985,D1,D1,,,,CO,11.2374392,-74.1888002
node,7008558585,D1,D1,,,,CO,10.4308106,-75.5326121
node,7048148740,D1,D1,,,,CO,4.2860017,-74.7751683
node,7064962152,D1,D1,,,,CO,4.5225268,-75.6477699
node,7099223689,D1,D1,,,,CO,4.6317051,-74.4641364
node,7157647318,D1,D1,,,,CO,4.5007496,-75.7205105
node,7194386805,D1,D1,Calle 60 Sur,Sabaneta Antioquia,,CO,6.1546807,-75.6067343
node,7202393192,D1,,,,,CO,4.6234413,-74.4708816
node,7240989333,D1,D1,,,,CO,7.1343293,-73.1176337
node,7254330126,D1,D1,Calle 62 Sur,Sabaneta,,CO,6.1551054,-75.6116358
node,7330357472,D1,D1,,,,CO,6.2692883,-75.5442112
node,7330654174,D1,D1,,,,CO,6.2847585,-75.5593661
node,7333188688,D1,D1,,,,CO,6.2665493,-75.5657513
node,7337305663,D1,D1,,,,CO,6.2622908,-75.5951286
