osm_id,osm_type,name,brand,operator,addr_full,addr_street,addr_housenumber,addr_city,addr_state,addr_postcode,opening_hours,phone,website,lat,lon,source,street_address,city,page_url
4722369489,node,D1,D1,,,,,,,,,,,6.1735086,-75.3343609,osm,,,
4723462890,node,D1,D1,,,,,,,,,,,6.1747094,-75.3394672,osm,,,
4725214292,node,D1,D1,,,,,,,,,,,6.1766121,-75.3444386,osm,,,
4727005889,node,D1,,,,,,,,,,,,6.1307776,-75.3795787,osm,,,
4782017748,node,Tiendas D1,,,,,,,,,,,,4.5238198,-76.0360276,osm,,,
4785320141,node,D1,D1,,,,,,,,,,,6.6442238,-75.4611664,osm,,,
4790681622,node,D1,D1,,,Carrera 50,49 34,,,,Mo-Su 08:00-21:00,,http://www.tiendasd1.com,4.2635972,-75.9340334,osm,,,
4795577625,node,D1,D1,Tiendas D1,,Variante Condina,,,,,Mo-Sa 08:00-20:00,,http://www.tiendssd1.com,4.7642725,-75.6871982,osm,,,
4814727521,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.6753736,-74.1347223,osm,,,
4827054332,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.5714663,-74.0976543,osm,,,
4840617199,node,,,D1,,,,,,,,,,4.7518978,-74.0918755,osm,,,
4888197434,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.6178419,-74.0835961,osm,,,
4889877321,node,D1,,,,,,,,,,,,3.4519649,-76.5370156,osm,,,
4936329521,node,D1,,,,,,,,,,,,4.154936,-76.2866509,osm,,,
4951675833,node,D1,,,,,,,,,,,,6.2642098,-75.596644,osm,,,
4969112421,node,D1,,,,,,,,,,,,6.2216938,-75.5802303,osm,,,
5072217965,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.7045652,-74.0502275,osm,,,
5090246221,node,D1,,,,,,,,,,,,5.5455184,-73.3599185,osm,,,
5127009669,node,D1,D1,,,Calle 161,,,,,,,,4.7366502,-74.022263,osm,,,
5131767305,node,D1,D1,,,Calle 162,,,,,,,https://d1.com.co/,4.7379029,-74.0259275,osm,,,
5131867211,node,D1,D1,,,Avenida Calle 161,,,,,,,https://d1.com.co/,4.74012,-74.0410362,osm,,,
5133786379,node,D1,D1,,,Avenida Carrera 7,,,,,Mo-Su 08:00-21:00; PH 08:00-20:00,,https://d1.com.co/,4.6367404,-74.0634152,osm,,,
5148182851,node,D1,D1,,,Avenida Carrera 70,,,,,,,https://d1.com.co/,4.6746908,-74.0982432,osm,,,
5159761195,node,D1,D1,,,Calle 138,,,,,,,https://d1.com.co/,4.7239459,-74.0522206,osm,,,
5159860628,node,D1,D1,,,Avenida Carrera 50,,,,,,,https://d1.com.co/,4.6776007,-74.0661825,osm,,,
5171852808,node,D1,D1,,,Calle 10,,,,,Mo-Su 08:00-21:00,,,4.7124043,-74.2262303,osm,,,
5178411724,node,D1,D1,,,Calle 51,,,,,,,https://d1.com.co/,4.6401253,-74.0759104,osm,,,
5209139586,node,D1,D1,,,Avenida Calle 13,,,,,,,https://d1.com.co/,4.6054882,-74.0816007,osm,,,
5209154463,node,D1,D1,,,Avenida Carrera 27,,,,,,,https://d1.com.co/,4.5903319,-74.1081831,osm,,,
5214856563,node,D1,D1,,,Avenida Carrera 13,,,,,,,https://d1.com.co/,4.6108987,-74.0727489,osm,,,
5230915284,node,D1,D1,,,Avenida Calle 63,15-18,,,,,,https://d1.com.co/,4.6500185,-74.0659549,osm,,,
5250722027,node,D1,D1,,,TransMilenio,,,,,,,https://d1.com.co/,4.6372925,-74.1549825,osm,,,
5252831548,node,D1,D1,,,Carrera 69,,,,,,,https://d1.com.co/,4.6120424,-74.1350065,osm,,,
5273979922,node,D1,,,,,,,,,,,,3.4847516,-76.4906604,osm,,,
5316723648,node,D1,,,,,,,,,,,,3.2661487,-76.5376569,osm,,,
