Fetching index: https://www.sucursales24.com.co/tiendas-d1/todos/
Found 210 city pages
[77/210] https://www.sucursales24.com.co/guasca/tiendas-d1/ -> 0 stores
[78/210] https://www.sucursales24.com.co/guatavita/tiendas-d1/ -> 0 stores
[79/210] https://www.sucursales24.com.co/hatonuevo/tiendas-d1/ -> 0 stores
[80/210] https://www.sucursales24.com.co/honda-tolima/tiendas-d1/ -> 2 stores
[81/210] https://www.sucursales24.com.co/ibague/tiendas-d1/ -> 8 stores
[82/210] https://www.sucursales24.com.co/ipiales/tiendas-d1/ -> 3 stores
[83/210] https://www.sucursales24.com.co/istmina/tiendas-d1/ -> 0 stores
[84/210] https://www.sucursales24.com.co/itagui/tiendas-d1/ -> 15 stores
[85/210] https://www.sucursales24.com.co/jamundi/tiendas-d1/ -> 3 stores
[86/210] https://www.sucursales24.com.co/juan-de-acosta/tiendas-d1/ -> 0 stores
[87/210] https://www.sucursales24.com.co/la-calera/tiendas-d1/ -> 2 stores
[88/210] https://www.sucursales24.com.co/la-ceja/tiendas-d1/ -> 4 stores
[89/210] https://www.sucursales24.com.co/la-dorada/tiendas-d1/ -> 4 stores
[90/210] https://www.sucursales24.com.co/la-estrella/tiendas-d1/ -> 6 stores
[91/210] https://www.sucursales24.com.co/la-pintada/tiendas-d1/ -> 0 stores
[92/210] https://www.sucursales24.com.co/la-tebaida/tiendas-d1/ -> 0 stores
[93/210] https://www.sucursales24.com.co/la-vega-cundinamarca/tiendas-d1/ -> 0 stores
[94/210] https://www.sucursales24.com.co/la-victoria/tiendas-d1/ -> 0 stores
[95/210] https://www.sucursales24.com.co/la-virginia/tiendas-d1/ -> 0 stores
[96/210] https://www.sucursales24.com.co/lebrija/tiendas-d1/ -> 0 stores
[97/210] https://www.sucursales24.com.co/liborina/tiendas-d1/ -> 0 stores
[98/210] https://www.sucursales24.com.co/los-patios/tiendas-d1/ -> 2 stores
[99/210] https://www.sucursales24.com.co/los-santos/tiendas-d1/ -> 0 stores
[100/210] https://www.sucursales24.com.co/madrid/tiendas-d1/ -> 3 stores
[101/210] https://www.sucursales24.com.co/maicao/tiendas-d1/ -> 2 stores
[102/210] https://www.sucursales24.com.co/majagual/tiendas-d1/ -> 0 stores
[103/210] https://www.sucursales24.com.co/malambo/tiendas-d1/ -> 3 stores
[104/210] https://www.sucursales24.com.co/mani/tiendas-d1/ -> 0 stores
[105/210] https://www.sucursales24.com.co/manizales/tiendas-d1/ -> 16 stores
[106/210] https://www.sucursales24.com.co/marinilla/tiendas-d1/ -> 3 stores
[107/210] https://www.sucursales24.com.co/mariquita/tiendas-d1/ -> 0 stores
[108/210] https://www.sucursales24.com.co/medellin/tiendas-d1/ -> 10 stores
